rtsId,title,objective,domain,proposedToleranceLevel,proposedRTS,rationale,framework,effectiveDate,reviewDate
RTS-001,Cyber Attack Tolerance,"Maintain operational resilience against cyber attacks while enabling business innovation",Cybersecurity,MEDIUM,"The organization accepts a residual cyber risk score of up to 12 (Medium) for standard operations, with enhanced monitoring and quarterly review for scores 10-12","Balances security investment with operational agility. Aligns with industry benchmarks for financial services sector",ISO,2025-01-01,2025-12-31
RTS-002,Data Protection Tolerance,"Protect sensitive data while enabling data-driven business operations",Data Privacy,LOW,"The organization maintains near-zero tolerance for personal data breaches. Maximum acceptable residual score of 8 for data-related risks","GDPR requirements and reputational sensitivity demand stringent data protection. Customer trust is paramount",ISO,2025-01-01,2025-12-31
RTS-003,Service Availability Tolerance,"Ensure business continuity while managing infrastructure investment",Business Continuity,MEDIUM,"The organization accepts occasional service degradation with RTO ≤4 hours and RPO ≤1 hour for critical systems. Residual score up to 10 acceptable","Cost-benefit analysis supports current DR investment level. Meets regulatory and contractual SLAs",ISO,2025-01-01,2025-12-31
RTS-004,Third-Party Risk Tolerance,"Enable vendor partnerships while managing supply chain risk",Third Party,MEDIUM,"The organization accepts residual third-party risk scores up to 12 for non-critical vendors and up to 8 for critical vendors","Business operations depend on vendor ecosystem. Risk-based tiering enables proportionate management",ISO,2025-01-01,2025-12-31
RTS-005,Regulatory Compliance Tolerance,"Maintain compliance while managing compliance costs efficiently",Regulatory,LOW,"Zero tolerance for material regulatory non-compliance. Maximum residual score of 6 for compliance-related risks","Regulatory penalties and reputational damage potential exceeds cost of compliance. License to operate",NIS2,2025-01-01,2025-12-31
RTS-006,Insider Threat Tolerance,"Balance employee privacy with security monitoring",Insider Risk,MEDIUM,"The organization accepts residual insider threat risk scores up to 10 with enhanced monitoring for privileged users","Employee trust important for culture. Monitoring capabilities provide detection confidence",ISO,2025-01-01,2025-12-31
RTS-007,Cloud Security Tolerance,"Enable cloud adoption while managing cloud-specific risks",Cloud Security,MEDIUM,"The organization accepts cloud security residual scores up to 10 with mandatory CSPM monitoring and quarterly configuration reviews","Cloud benefits outweigh risks with proper controls. Industry moving to cloud-first",ISO,2025-01-01,2025-12-31
RTS-008,ICT Concentration Tolerance,"Manage critical ICT dependencies",ICT Concentration,LOW,"Maximum 40% dependency on any single ICT provider. Residual concentration risk score must be ≤8","DORA requirements mandate concentration management. Operational resilience critical",DORA,2025-01-01,2025-12-31
RTS-009,Financial Impact Tolerance,"Define acceptable financial loss thresholds",Financial,MEDIUM,"Single incident loss tolerance: €2M. Annual aggregate loss tolerance: €5M. Risk scores translating to potential losses exceeding these require Board approval","Aligns with insurance coverage and capital reserves. Board-approved thresholds",ISO,2025-01-01,2025-12-31
RTS-010,Reputational Risk Tolerance,"Protect organizational reputation",Reputation,LOW,"Near-zero tolerance for incidents likely to generate negative media coverage. Maximum residual score of 6 for reputation-impacting risks","Trust is foundational to business. Reputational damage recovery slow and expensive",ISO,2025-01-01,2025-12-31
